name,size,step,x,y,z,vertex
optdkt,2,5000,25.0017138,-15.8736702,18.6447424,4
optdkt,4,5000,25.0001165,-15.9054567,18.8613959,11
optdkt,6,5000,24.9999785,-15.9512338,18.9468478,22
optdkt,8,5000,24.9999819,-15.9628185,18.9671083,37
optdkt,10,5000,24.9999653,-15.968068,18.9757889,56
optdkt,12,5000,24.9999777,-15.9714008,18.9811575,79
optdkt,14,5000,24.9999898,-15.9734806,18.984387,106
optdkt,16,5000,24.9999686,-15.9750007,18.9866421,137
optdkt,18,5000,24.9999581,-15.9756031,18.9875872,172
optdkt,20,5000,24.9999516,-15.9757816,18.9878208,211
optdkt,22,5000,24.9999983,-15.9756576,18.9877486,254
optdkt,32,5000,24.9999605,-15.9700526,18.9787246,529
optdkt,40,5000,24.9999618,-15.9674972,18.9748559,821
bezier2,2,5000,25.0012644,-15.9178057,18.7512805,4
bezier2,4,5000,25.0001959,-15.9333111,18.9119831,11
bezier2,6,5000,25.0000624,-15.977934,18.9942655,22
bezier2,8,5000,25.0000093,-15.9864032,19.008293,37
bezier2,10,5000,25.000002,-15.9893543,19.012765,56
bezier2,12,5000,24.999988,-15.9906984,19.0146389,79
bezier2,14,5000,24.9999782,-15.9914241,19.0155335,106
bezier2,16,5000,24.9999454,-15.9913263,19.0151869,137
bezier2,18,5000,24.9999336,-15.9903704,19.0136921,172
bezier2,20,5000,24.9999436,-15.9891502,19.011791,211
bezier2,22,5000,24.9999648,-15.9873618,19.0089689,254
bezier2,32,5000,25,-15.9801339,18.9973675,529
bezier2,40,5000,25,-15.9782058,18.9943137,821
